title,type,titlereleased,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,4k,language
Are We There Yet?,Movie,2005,PG-13,SuperHD,"Ice Cube, Nia Long, Aleisha Allen, Philip Bolden",Brian Levant,"Children & Family Movies
                  Comedies",5.3,94,70018726,2019-01-01,"To impress a foxy divorcee, ladies' man Nick offers to take her kids on an extended road trip, unaware of the torture he's in for.",1,english
Doom,Movie,2005,R,SuperHD,"Karl Urban, Rosamund Pike, Dwayne Johnson, Deobia Oparei",Andrzej Bartkowiak,"Action & Adventure
                  Horror Movies
                  Sci-Fi & Fantasy",5.0,104,70028897,2018-09-01,A special ops squad investigating a distress signal from a distant planet discovers that mutant aliens have already wiped out most of the population.,1,english
Monster House,Movie,2006,PG,SuperHD,"Mitchel Musso, Sam Lerner, Spencer Locke, Steve Buscemi",Gil Kenan,"Children & Family Movies
                  Comedies",6.6,90,70044595,2019-11-01,Three friends uncover the truth about a scary abandoned house in their neighborhood that has a personality of its own and seems to be eating people.,1,english
The Departed,Movie,2006,R,SuperHD,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",Martin Scorsese,"Dramas
                  Thrillers",8.5,151,70044689,2019-01-12,Two rookie Boston cops are sent deep undercover -- one inside the gang of a charismatic Irish mob boss and the other double-crossing his own department.,1,english
Employee of the Month,Movie,2006,R,SuperHD,"Dane Cook, Jessica Simpson, Dax Shepard, Andy Dick",Greg Coolidge,"Comedies
                  Romantic Movies",5.4,108,70051671,2019-03-31,Warehouse workers Vince and Zack compete in a full-on war to be named Employee of the Month and win a date with their dream girl.,1,english
Superbad,Movie,2007,PG-13,SuperHD,"Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader",Greg Mottola,"Comedies
                  Cult Movies",7.0,113,70058023,2019-09-01,Two best friends' quest to buy booze for a party in the hopes of scoring with girls leads them on a series of wacky misadventures.,1,english
Surf's Up,Movie,2007,PG,SuperHD,"Shia LaBeouf, Jeff Bridges, Zooey Deschanel, Jon Heder","Ash Brannon, Chris Buck","Children & Family Movies
                  Comedies
                  Sports Movies",6.7,85,70058025,2019-10-01,This Oscar-nominated mockumentary goes behind the scenes at the Penguin World Surfing Championship to get a close-up look at the inventors of surfing.,1,english
Sex and the City: The Movie,Movie,2008,PG-13,SuperHD,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon",Michael Patrick King,"Comedies
                  Dramas
                  Romantic Movies",6.3,145,70084801,2019-08-01,"In this big-screen continuation of the hit series, Big proposes to Carrie, but the groom's cold feet threaten to ruin their relationship forever.",1,english
The Bank Job,Movie,2008,R,SuperHD,"Jason Statham, Saffron Burrows, Richard Lintern, Stephen Campbell Moore",Roger Donaldson,"Dramas
                  International Movies
                  Thrillers",6.7,112,70087585,2019-08-01,"A thief gets in over his head when he breaks into a bank vault full of cash, gems... and secrets on everyone from the London mob to the royal family.",1,english
Pineapple Express,Movie,2008,PG-13,SuperHD,"Seth Rogen, James Franco, Danny McBride, Kevin Corrigan",David Gordon Green,"Action & Adventure
                  Comedies",6.6,112,70098329,2019-04-01,"In this stoner buddy comedy, a lazy pothead must go on the run with his dealer after witnessing a murder involving a corrupt cop and a drug kingpin.",1,english
Hotel for Dogs,Movie,2009,PG,SuperHD,"Emma Roberts, Jake T. Austin, Kyla Pratt, Lisa Kudrow",Thor Freudenthal,"Children & Family Movies
                  Comedies",5.8,100,70101346,2018-12-20,"Placed in a foster home that doesn't allow pets, 16-year-old Andi and her younger brother Bruce turn an abandoned hotel into a home for their dog.",1,english
Angels & Demons,Movie,2009,PG-13,SuperHD,"Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård",Ron Howard,Thrillers,6.6,138,70103523,2019-05-01,Catholic Church officials call upon a symbologist to help foil an attack on the Vatican by a secret society looking to retaliate for old persecutions.,1,english
Gran Torino,Movie,2008,PG,SuperHD,"Clint Eastwood, Bee Vang, Ahney Her, Christopher Carley",Clint Eastwood,Dramas,7.9,116,70105600,2019-06-01,Curmudgeonly Korean War vet Walt confronts his Hmong immigrant neighbors when the family's son tries to steal his beloved 1972 Gran Torino.,1,english
Sherlock Holmes,Movie,2009,PG-13,SuperHD,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",Guy Ritchie,"Action & Adventure
                  Comedies",7.6,128,70110558,2020-04-01,Robert Downey Jr. stars as the legendary sleuth Sherlock Holmes in this Guy Ritchie-helmed reinvention of Sir Arthur Conan Doyle's detective series.,1,english
Cloudy with a Chance of Meatballs,Movie,2009,R,SuperHD,"Bill Hader, Anna Faris, James Caan, Andy Samberg","Phil Lord, Christopher Miller","Children & Family Movies
                  Comedies
                  Sci-Fi & Fantasy",6.5,90,70113007,2018-12-01,"When inventor Flint Lockwood makes clouds rain food, the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow.",1,english
Quartet,Movie,2012,TV-14,SuperHD,"Maggie Smith, Tom Courtenay, Billy Connolly, Pauline Collins",Dustin Hoffman,"Comedies
                  Dramas
                  Independent Movies",6.5,98,70243583,2018-12-15,A trio of retired opera singers' annual celebration of Verdi's birthday sours when their estranged fourth member shows up but refuses to sing.,1,english
Fire in the Blood,Movie,2012,TV-14,SuperHD,William Hurt,Dylan Mohan Gray,"Documentaries
                  International Movies",7.7,83,70268209,2017-05-01,Dylan Mohan Gray examines Africa's AIDS crisis and activists' battle with pharmaceutical companies to make life-saving HIV drugs more affordable.,1,english
The Nut Job,Movie,2014,PG,SuperHD,"Will Arnett, Brendan Fraser, Gabriel Iglesias, Jeff Dunham",Peter Lepeniotis,"Children & Family Movies
                  Comedies",5.6,85,70286697,2018-08-13,"When his grouchy attitude gets him kicked out of the park, Surly the squirrel hatches a plan to rob Maury's Nut Shop to stock up for winter.",1,english
The Boy,Movie,2016,TV-MA,SuperHD,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton",William Brent Bell,"Horror Movies
                  Independent Movies
                  Thrillers",5.8,97,80071346,2018-06-01,A nanny is hired by a couple to look after their boy. She's shocked to learn that her charge is actually a doll that the couple treats like a human.,1,english
Couple of Days,Movie,2016,TV-14,SuperHD,"Lilian Esoro, Ademola Adedoyin, Enyima Nwigwe, Kiki Omeili",Tolu Awobiyi,"Dramas
                  International Movies
                  Romantic Movies",5.1,102,80126995,2020-02-26,"Three couples, each in different phases of romance, head to Ibadan for a fun and frisky holiday. But secrets soon spill, causing trouble in paradise.",1,english
Wives on Strike,Movie,2016,TV-14,SuperHD,"Omoni Oboli, Kenneth Okonkwo, Kalu Ikeagwu, Uche Jumbo",Omoni Oboli,"Comedies
                  Dramas
                  International Movies",3.7,92,80126997,2019-12-06,"A group of local women band together to save a terrified young girl from marriage, launching a hilarious strike against their frustrated husbands.",1,english
